dataset,metric,grpo_mean,baseline_mean,diff_grpo_minus_baseline,n_grpo,n_baseline,n_grpo_nonnull,n_baseline_nonnull
bodyfat_vanderbilt,n_assumptions_declared,2.5,3.5,-1.0,36,4,36,4
bodyfat_vanderbilt,assumption_all_held_frac,0.166667,0.0,0.166667,36,4,36,4
bodyfat_vanderbilt,assumption_zero_held_frac,0.611111,0.5,0.111111,36,4,36,4
bodyfat_vanderbilt,n_output_contract_items_declared,4.333333,5.75,-1.416667,36,4,36,4
bodyfat_vanderbilt,output_contract_all_held_frac,0.027778,0.0,0.027778,36,4,36,4
bodyfat_vanderbilt,output_contract_zero_held_frac,0.972222,1.0,-0.027778,36,4,36,4
bone_mineral_density,reward,0.1544,0.017027,0.137373,36,4,35,4
bone_mineral_density,implementation_score,0.093702,0.104055,-0.010353,36,4,35,4
bone_mineral_density,data_score,0.137284,0.0,0.137284,36,4,35,4
bone_mineral_density,validation_credit,0.437381,0.1,0.337381,36,4,35,4
bone_mineral_density,abstention_bonus,0.005714,0.0,0.005714,36,4,35,4
bone_mineral_density,action_cost_penalty,0.076,0.065,0.011,36,4,35,4
bone_mineral_density,n_actions,7.6,6.5,1.1,36,4,35,4
bone_mineral_density,retrieval_bm25_score,37.885237,31.890735,5.994502,36,4,36,4
bone_mineral_density,retrieval_rrf_score,0.015415,0.015696,-0.000281,36,4,36,4
bone_mineral_density,retrieval_best_intent_rank,5.015278,3.8,1.215278,36,4,36,4
bone_mineral_density,category_entropy,2.400626,2.120723,0.279903,36,4,36,4
bone_mineral_density,distinct_category_count,6.606481,5.5,1.106481,36,4,36,4
bone_mineral_density,evidence_depth_full_text_frac,1.0,1.0,0.0,36,4,36,4
bone_mineral_density,n_observations,169.0,169.0,0.0,36,4,15,2
bone_mineral_density,cv_metric,0.090295,,,36,4,15,0
bone_mineral_density,bootstrap_sign_stability,0.468097,,,36,4,15,0
bone_mineral_density,paper_diagnostic_coverage,1.0,,,36,4,4,0
bone_mineral_density,condition_number,,,,36,4,0,0
bone_mineral_density,rubric_score,0.102487,0.20811,-0.105623,36,4,32,2
bone_mineral_density,implementation_coverage_score,0.515625,0.845238,-0.329613,36,4,32,2
bone_mineral_density,assumption_check_recall,0.223958,0.833333,-0.609375,36,4,32,2
bone_mineral_density,output_contract_recall,0.0,0.0,0.0,36,4,32,2
bone_mineral_density,validation_coverage_score,0.714323,0.8,-0.085677,36,4,32,2
bone_mineral_density,emittable,0.0,0.0,0.0,36,4,36,4
bone_mineral_density,emitted,0.0,0.0,0.0,36,4,36,4
bone_mineral_density,gate_score_hypothesis,1.0,1.0,0.0,36,4,32,2
bone_mineral_density,gate_score_estimand,1.0,1.0,0.0,36,4,32,2
bone_mineral_density,gate_score_data_applicability,0.46875,1.0,-0.53125,36,4,32,2
bone_mineral_density,gate_score_multiplicity,1.0,1.0,0.0,36,4,32,2
bone_mineral_density,gate_score_execution,0.6875,1.0,-0.3125,36,4,32,2
bone_mineral_density,gate_score_paper_fidelity,0.320312,0.0,0.320312,36,4,32,2
bone_mineral_density,gate_score_assumption_admissibility,0.0,0.0,0.0,36,4,32,2
bone_mineral_density,gate_score_robustness,0.666667,1.0,-0.333333,36,4,32,2
bone_mineral_density,gate_score_data_method_structural_fit,1.0,1.0,0.0,36,4,32,2
bone_mineral_density,gate_score_internal_coherence,1.0,1.0,0.0,36,4,32,2
bone_mineral_density,n_assumptions_declared,2.46875,3.0,-0.53125,36,4,32,2
bone_mineral_density,assumption_all_held_frac,0.09375,0.5,-0.40625,36,4,32,2
bone_mineral_density,assumption_zero_held_frac,0.6875,0.0,0.6875,36,4,32,2
bone_mineral_density,n_output_contract_items_declared,6.3125,5.0,1.3125,36,4,32,2
bone_mineral_density,output_contract_all_held_frac,0.0,0.0,0.0,36,4,32,2
bone_mineral_density,output_contract_zero_held_frac,1.0,1.0,0.0,36,4,32,2
breast_cancer_wisconsin,reward,0.142587,0.145963,-0.003376,36,4,36,4
breast_cancer_wisconsin,implementation_score,0.094323,0.049844,0.044479,36,4,36,4
breast_cancer_wisconsin,data_score,0.105572,0.211967,-0.106395,36,4,36,4
breast_cancer_wisconsin,validation_credit,0.441204,0.279166,0.162038,36,4,36,4
